timestamp,SOL/USDT_2025_5T,BNSOL/USDT_2025_5T
2025-01-02 17:50:00,205.58,210.3
2025-01-02 17:55:00,206.05,211.0
2025-01-02 18:00:00,205.13,209.8
2025-01-02 18:05:00,205.98,210.6
2025-01-02 18:10:00,205.41,210.0
2025-01-02 18:15:00,205.79,210.4
2025-01-02 18:20:00,205.82,210.4
2025-01-02 18:25:00,205.85,210.4
2025-01-02 18:30:00,205.64,210.2
2025-01-02 18:35:00,206.29,211.0
2025-01-02 18:40:00,206.47,211.2
2025-01-02 18:45:00,206.41,211.1
2025-01-02 18:50:00,206.18,210.9
2025-01-02 18:55:00,206.44,211.1
2025-01-02 19:00:00,206.57,211.4
2025-01-02 19:05:00,207.07,211.7
2025-01-02 19:10:00,207.09,211.9
2025-01-02 19:15:00,207.41,212.5
2025-01-02 19:20:00,207.75,212.5
2025-01-02 19:25:00,207.75,212.5
2025-01-02 19:30:00,207.09,211.8
2025-01-02 19:35:00,207.08,211.9
2025-01-02 19:40:00,207.3,212.0
2025-01-02 19:45:00,207.01,212.0
2025-01-02 19:50:00,207.03,211.8
2025-01-02 19:55:00,206.69,211.2
2025-01-02 20:00:00,207.29,211.9
2025-01-02 20:05:00,207.16,212.0
2025-01-02 20:10:00,207.3,211.9
2025-01-02 20:15:00,207.75,212.5
2025-01-02 20:20:00,207.88,212.6
2025-01-02 20:25:00,207.75,212.5
2025-01-02 20:30:00,207.9,212.8
2025-01-02 20:35:00,207.28,212.2
2025-01-02 20:40:00,207.49,212.4
2025-01-02 20:45:00,207.67,212.4
2025-01-02 20:50:00,207.19,212.2
2025-01-02 20:55:00,206.82,211.8
2025-01-02 21:00:00,206.72,211.6
2025-01-02 21:05:00,206.47,211.4
2025-01-02 21:10:00,206.54,211.3
2025-01-02 21:15:00,206.84,211.8
2025-01-02 21:20:00,206.27,211.2
2025-01-02 21:25:00,206.55,211.3
2025-01-02 21:30:00,205.98,210.7
2025-01-02 21:35:00,206.06,210.8
2025-01-02 21:40:00,205.6,210.4
2025-01-02 21:45:00,206.01,211.0
2025-01-02 21:50:00,206.3,211.3
2025-01-02 21:55:00,206.54,211.2
2025-01-02 22:00:00,206.23,210.9
2025-01-02 22:05:00,206.63,211.4
2025-01-02 22:10:00,205.91,210.7
2025-01-02 22:15:00,205.92,210.5
2025-01-02 22:20:00,205.53,210.0
2025-01-02 22:25:00,205.97,210.6
2025-01-02 22:30:00,206.44,211.4
2025-01-02 22:35:00,206.49,211.3
2025-01-02 22:40:00,206.44,211.1
2025-01-02 22:45:00,206.52,211.3
2025-01-02 22:50:00,206.54,211.3
2025-01-02 22:55:00,206.6,211.4
2025-01-02 23:00:00,207.21,211.9
2025-01-02 23:05:00,206.64,211.4
2025-01-02 23:10:00,206.81,211.5
2025-01-02 23:15:00,207.2,211.8
2025-01-02 23:20:00,207.48,212.3
2025-01-02 23:25:00,207.91,212.5
2025-01-02 23:30:00,208.2,212.9
2025-01-02 23:35:00,208.27,213.1
2025-01-02 23:40:00,208.15,212.9
2025-01-02 23:45:00,208.1,212.8
2025-01-02 23:50:00,207.86,212.6
2025-01-02 23:55:00,208.31,212.9
2025-01-03 00:00:00,208.15,212.9
2025-01-03 00:05:00,208.12,212.9
2025-01-03 00:10:00,208.05,212.8
2025-01-03 00:15:00,207.64,212.5
2025-01-03 00:20:00,207.64,212.4
2025-01-03 00:25:00,207.83,212.8
2025-01-03 00:30:00,207.21,212.1
2025-01-03 00:35:00,207.25,212.2
2025-01-03 00:40:00,207.2,212.2
2025-01-03 00:45:00,207.22,212.1
2025-01-03 00:50:00,207.39,212.2
2025-01-03 00:55:00,207.15,212.1
2025-01-03 01:00:00,206.59,211.3
2025-01-03 01:05:00,206.19,211.2
2025-01-03 01:10:00,205.97,210.6
2025-01-03 01:15:00,206.08,210.7
2025-01-03 01:20:00,206.47,211.3
2025-01-03 01:25:00,206.58,211.3
2025-01-03 01:30:00,206.29,210.9
2025-01-03 01:35:00,205.96,210.8
2025-01-03 01:40:00,206.03,210.7
2025-01-03 01:45:00,206.13,211.0
2025-01-03 01:50:00,206.67,211.4
2025-01-03 01:55:00,206.86,211.6
2025-01-03 02:00:00,206.63,211.4
2025-01-03 02:05:00,206.91,211.6
2025-01-03 02:10:00,207.37,212.3
2025-01-03 02:15:00,207.74,212.7
2025-01-03 02:20:00,207.78,212.7
2025-01-03 02:25:00,208.09,212.9
2025-01-03 02:30:00,207.69,212.6
2025-01-03 02:35:00,207.93,212.8
2025-01-03 02:40:00,207.48,212.7
2025-01-03 02:45:00,207.51,212.4
2025-01-03 02:50:00,207.24,212.1
2025-01-03 02:55:00,206.87,211.6
2025-01-03 03:00:00,207.25,212.0
2025-01-03 03:05:00,207.17,212.1
2025-01-03 03:10:00,206.78,211.5
2025-01-03 03:15:00,206.5,211.3
2025-01-03 03:20:00,206.32,211.2
2025-01-03 03:25:00,206.33,211.2
2025-01-03 03:30:00,206.71,211.1
2025-01-03 03:35:00,206.8,211.5
2025-01-03 03:40:00,207.03,211.6
2025-01-03 03:45:00,207.42,212.0
2025-01-03 03:50:00,207.94,212.7
2025-01-03 03:55:00,208.05,212.9
2025-01-03 04:00:00,207.66,212.4
2025-01-03 04:05:00,207.67,212.7
2025-01-03 04:10:00,207.7,212.8
2025-01-03 04:15:00,207.46,212.5
2025-01-03 04:20:00,207.49,212.6
2025-01-03 04:25:00,207.45,212.4
2025-01-03 04:30:00,207.44,212.6
2025-01-03 04:35:00,207.18,212.3
2025-01-03 04:40:00,207.59,212.5
2025-01-03 04:45:00,208.01,213.0
2025-01-03 04:50:00,207.73,213.0
2025-01-03 04:55:00,207.72,212.8
2025-01-03 05:00:00,207.22,212.1
2025-01-03 05:05:00,207.71,212.8
2025-01-03 05:10:00,208.51,213.6
2025-01-03 05:15:00,208.68,213.6
2025-01-03 05:20:00,208.41,213.2
2025-01-03 05:25:00,208.49,213.4
2025-01-03 05:30:00,208.61,213.4
2025-01-03 05:35:00,208.77,213.5
2025-01-03 05:40:00,208.81,213.8
2025-01-03 05:45:00,208.82,213.9
2025-01-03 05:50:00,209.02,214.0
2025-01-03 05:55:00,208.87,213.7
2025-01-03 06:00:00,209.01,213.9
2025-01-03 06:05:00,209.39,214.5
2025-01-03 06:10:00,209.4,214.4
2025-01-03 06:15:00,209.84,214.7
2025-01-03 06:20:00,208.74,213.7
2025-01-03 06:25:00,209.53,214.5
2025-01-03 06:30:00,209.31,214.2
2025-01-03 06:35:00,209.86,214.7
2025-01-03 06:40:00,209.41,214.5
2025-01-03 06:45:00,208.47,213.5
2025-01-03 06:50:00,208.53,213.5
