,Pair,Total return (%),Sharpe ratio,Max drawdown (%),Number of trades,Non-stop loss win rate (%),Mean trade duration/Reversion speed from threshold (mins),Average entry beta,Mean Absolute Percent Delta Beta (%),Median Absolute Percent Delta Beta (%),Beta series returns std (%),Beta series returns MAD (%),Average S1 trade returns (%),Average S2 trade returns (%)
0,XTZUSDT_2024_5m ~ ADAUSDT_2024_5m,23.24375530331999,0.1597513786033188,7.246306232120787,118,61.016949152542374,446.90677966101697,1.4560659445530748,189.82277039281726,21.394648475124868,294.2263477403473,0.35762031103322434,0.3086516573937027,0.3262190081780433
0,STXUSDT_2024_5m ~ VETUSDT_2024_5m,3.2838651304856943,0.010659336457923139,24.041309870252675,117,54.700854700854705,473.2478632478632,50.47212468324337,86.42330341851856,32.62445922037431,145.18891620743705,0.5315038087126744,0.144243873098362,0.3906480242912999
0,AXSUSDT_2024_5m ~ AAVEUSDT_2024_5m,5.2355910847224,0.019226273147737102,22.677484329760635,111,54.054054054054056,398.6936936936937,0.06135013194359629,351.09215418819537,25.881563884435867,39.202193993211864,0.3909779997739671,-0.10238511642549267,-0.04961337875280361
0,SEIUSDT_2024_5m ~ XLMUSDT_2024_5m,24.720023786540974,0.12362357104789684,13.139022827455173,117,64.95726495726495,408.84615384615387,7.172503752575183,103.90719398335983,35.65605082458892,77.82302992397389,0.524723566016283,0.24905618328325743,0.08886748486522615
0,HBARUSDT_2024_5m ~ NEOUSDT_2024_5m,-67.56911288590416,-0.07238338806704733,88.81071030031714,118,64.40677966101694,381.9491525423729,0.0035779979662826536,183.02166237152085,32.43069247921985,141.33797662347342,0.43874699654598004,0.7165496867369109,-0.05061332564071218
0,FILUSDT_2024_5m ~ XLMUSDT_2024_5m,40.025757612351185,0.2096071646377332,7.452860122814381,104,57.692307692307686,356.875,76.71556885146317,121.39596894638694,26.62061854319891,76.27641398903509,0.3752736592368189,0.28658337961014835,-0.16214686501235404
0,EOSUSDT_2024_5m ~ ETCUSDT_2024_5m,54.58564404952302,0.19979063692243254,10.816913909706875,132,68.70229007633588,408.5984848484849,0.020171699126871768,319.49961330189353,30.79207631287813,28.617308409891695,0.4239614801575531,0.22466145375137433,0.4234695817279577
0,INJUSDT_2024_5m ~ XRPUSDT_2024_5m,22.531287936867397,0.08570070246612542,18.694067736781832,121,61.15702479338842,412.27272727272725,72.93910308342893,98.87732897461893,38.220000582402285,303.4956051157872,0.6624584254485866,-0.2002751146922143,-0.022911397347819953
0,OPUSDT_2024_5m ~ ADAUSDT_2024_5m,-17.753427389792687,-0.07403707443778174,23.57084324198634,103,45.63106796116505,522.7184466019418,4.681013972754534,114.5120781203919,34.44418826798498,195.51332631108914,0.49192835819470426,0.380833057543909,-0.021115052542466296
0,APTUSDT_2024_5m ~ QNTUSDT_2024_5m,14.454907852722185,0.038566657524869,27.875213374657715,130,60.76923076923077,414.2307692307692,0.08725647315757976,80.15238820780458,32.15565041584786,59.01636789641335,0.6027402221623346,0.3541251253631094,-0.08391798030693932
0,GRTUSDT_2024_5m ~ LTCUSDT_2024_5m,-19.284766080381424,-0.04844591498326301,36.59123825116081,115,60.0,411.04347826086956,0.00371557162037726,74.83279404321597,34.676317384395745,587.0453622995736,0.5996131687043049,-0.09125690348654983,-0.04716734462713884
0,WLDUSDT_2024_5m ~ VETUSDT_2024_5m,49.57821172568438,0.11418154301327513,35.06563515246781,122,54.91803278688525,374.87704918032784,130.27493167626827,90.92119604354039,32.569221809876005,103.35037315306919,0.5377047358771425,0.16630885820074892,0.10868325632737967
0,ALGOUSDT_2024_5m ~ XLMUSDT_2024_5m,48.07698876259756,0.4018519741258053,3.4298231196688804,123,78.86178861788618,316.5040650406504,2.3493561182296308,45.82045319047961,17.009685359472318,36.28483972394128,0.32849434740952477,-0.42390322699930455,-0.2672850593592086
0,INJUSDT_2024_5m ~ ADAUSDT_2024_5m,-9.483251749093426,-0.032774482818979836,29.159026716130416,115,51.30434782608696,454.1304347826087,63.012409866530085,185.96611185396551,31.51208802658861,115.70827563199195,0.5561560684815281,0.1106902526859248,0.21717074770555392
0,CRVUSDT_2024_5m ~ QNTUSDT_2024_5m,-29.12717681472859,-0.07387120985207021,33.23519241422889,105,56.730769230769226,456.0952380952381,0.0035112683252792438,113.35695601042946,32.407388058286394,765.1999490932037,0.569135110651009,-0.014812041115973496,0.10556180762821543
