timestamp,BNSOL/USDT_2025_1H,SOL/USDT_2025_1H
2025-01-14 12:00:00,190.3,186.03
2025-01-14 13:00:00,192.6,188.05
2025-01-14 14:00:00,191.8,187.2
2025-01-14 15:00:00,191.6,186.85
2025-01-14 16:00:00,191.2,186.49
2025-01-14 17:00:00,191.2,186.63
2025-01-14 18:00:00,191.3,186.63
2025-01-14 19:00:00,191.5,187.08
2025-01-14 20:00:00,192.0,187.17
2025-01-14 21:00:00,191.8,187.26
2025-01-14 22:00:00,193.4,188.69
2025-01-14 23:00:00,192.2,187.57
2025-01-15 00:00:00,192.0,187.44
2025-01-15 01:00:00,192.7,188.15
2025-01-15 02:00:00,192.2,187.3
2025-01-15 03:00:00,194.3,189.73
2025-01-15 04:00:00,194.5,189.72
2025-01-15 05:00:00,194.3,189.63
2025-01-15 06:00:00,193.9,189.36
2025-01-15 07:00:00,194.8,190.0
2025-01-15 08:00:00,194.4,189.21
2025-01-15 09:00:00,191.6,186.64
2025-01-15 10:00:00,192.1,187.56
2025-01-15 11:00:00,191.8,186.98
2025-01-15 12:00:00,191.2,186.39
2025-01-15 13:00:00,200.6,195.73
2025-01-15 14:00:00,200.8,195.72
2025-01-15 15:00:00,201.7,196.52
2025-01-15 16:00:00,203.4,198.07
2025-01-15 17:00:00,202.7,197.71
2025-01-15 18:00:00,206.4,201.3
2025-01-15 19:00:00,207.3,201.9
2025-01-15 20:00:00,208.0,202.74
2025-01-15 21:00:00,208.0,202.82
2025-01-15 22:00:00,209.6,204.49
2025-01-15 23:00:00,211.2,205.86
2025-01-16 00:00:00,209.9,204.56
2025-01-16 01:00:00,209.6,204.09
2025-01-16 02:00:00,208.4,202.93
2025-01-16 03:00:00,207.3,201.99
2025-01-16 04:00:00,207.1,201.84
2025-01-16 05:00:00,208.5,203.01
2025-01-16 06:00:00,208.3,203.02
2025-01-16 07:00:00,208.5,203.14
2025-01-16 08:00:00,205.0,199.7
2025-01-16 09:00:00,206.5,201.27
2025-01-16 10:00:00,205.8,200.41
2025-01-16 11:00:00,218.3,212.78
2025-01-16 12:00:00,220.7,215.14
2025-01-16 13:00:00,215.4,209.88
2025-01-16 14:00:00,213.4,207.72
2025-01-16 15:00:00,214.5,209.07
2025-01-16 16:00:00,218.9,213.11
2025-01-16 17:00:00,220.2,214.47
2025-01-16 18:00:00,218.6,212.73
2025-01-16 19:00:00,219.9,214.19
2025-01-16 20:00:00,219.0,213.24
2025-01-16 21:00:00,217.2,211.61
2025-01-16 22:00:00,215.4,209.78
2025-01-16 23:00:00,216.7,211.14
2025-01-17 00:00:00,216.5,210.9
2025-01-17 01:00:00,220.2,214.49
2025-01-17 02:00:00,218.7,212.99
2025-01-17 03:00:00,216.7,211.1
2025-01-17 04:00:00,218.5,212.91
2025-01-17 05:00:00,218.4,212.51
2025-01-17 06:00:00,218.1,212.6
2025-01-17 07:00:00,219.1,213.27
2025-01-17 08:00:00,222.1,216.28
2025-01-17 09:00:00,221.4,215.34
2025-01-17 10:00:00,223.1,217.28
2025-01-17 11:00:00,224.7,218.77
2025-01-17 12:00:00,226.2,220.33
2025-01-17 13:00:00,226.2,219.99
2025-01-17 14:00:00,225.3,219.29
2025-01-17 15:00:00,224.4,218.6
2025-01-17 16:00:00,227.0,220.81
2025-01-17 17:00:00,222.4,216.52
2025-01-17 18:00:00,222.3,216.5
2025-01-17 19:00:00,222.9,217.16
2025-01-17 20:00:00,226.4,220.33
2025-01-17 21:00:00,224.3,218.47
2025-01-17 22:00:00,225.1,219.23
2025-01-17 23:00:00,225.4,219.51
2025-01-18 00:00:00,226.1,219.95
2025-01-18 01:00:00,224.7,218.82
2025-01-18 02:00:00,228.0,222.04
2025-01-18 03:00:00,226.9,220.47
2025-01-18 04:00:00,234.5,228.46
2025-01-18 05:00:00,232.5,226.18
2025-01-18 06:00:00,242.5,236.29
2025-01-18 07:00:00,239.0,232.89
2025-01-18 08:00:00,244.8,238.79
