timestamp,BNSOL/USDT_2025_15T,SOL/USDT_2025_15T
2025-01-03 15:30:00,222.7,217.76
2025-01-03 15:45:00,222.2,217.36
2025-01-03 16:00:00,222.7,217.62
2025-01-03 16:15:00,223.1,218.27
2025-01-03 16:30:00,223.9,219.13
2025-01-03 16:45:00,222.9,217.7
2025-01-03 17:00:00,222.0,217.0
2025-01-03 17:15:00,222.6,217.26
2025-01-03 17:30:00,222.8,217.66
2025-01-03 17:45:00,222.2,217.39
2025-01-03 18:00:00,222.4,217.49
2025-01-03 18:15:00,222.8,217.91
2025-01-03 18:30:00,223.1,218.22
2025-01-03 18:45:00,223.1,218.12
2025-01-03 19:00:00,223.0,218.03
2025-01-03 19:15:00,221.8,216.77
2025-01-03 19:30:00,221.8,216.74
2025-01-03 19:45:00,222.0,217.1
2025-01-03 20:00:00,221.1,216.4
2025-01-03 20:15:00,221.5,216.63
2025-01-03 20:30:00,221.3,216.34
2025-01-03 20:45:00,221.0,216.05
2025-01-03 21:00:00,221.3,216.44
2025-01-03 21:15:00,221.8,216.79
2025-01-03 21:30:00,221.3,216.44
2025-01-03 21:45:00,221.2,216.34
2025-01-03 22:00:00,221.7,216.52
2025-01-03 22:15:00,221.8,217.05
2025-01-03 22:30:00,222.0,217.0
2025-01-03 22:45:00,222.1,217.06
2025-01-03 23:00:00,222.2,217.27
2025-01-03 23:15:00,222.5,217.62
2025-01-03 23:30:00,222.4,217.61
2025-01-03 23:45:00,223.2,217.99
2025-01-04 00:00:00,222.0,217.38
2025-01-04 00:15:00,222.6,217.81
2025-01-04 00:30:00,222.2,217.26
2025-01-04 00:45:00,222.0,217.0
2025-01-04 01:00:00,221.8,216.34
2025-01-04 01:15:00,222.8,217.86
2025-01-04 01:30:00,222.5,217.6
2025-01-04 01:45:00,222.7,217.38
2025-01-04 02:00:00,221.6,216.75
2025-01-04 02:15:00,221.3,216.51
2025-01-04 02:30:00,222.1,217.22
2025-01-04 02:45:00,222.3,217.47
2025-01-04 03:00:00,221.3,216.28
2025-01-04 03:15:00,221.8,216.46
2025-01-04 03:30:00,221.8,216.66
2025-01-04 03:45:00,221.7,216.97
2025-01-04 04:00:00,220.7,216.0
2025-01-04 04:15:00,221.1,216.01
2025-01-04 04:30:00,221.3,216.24
2025-01-04 04:45:00,221.8,216.88
2025-01-04 05:00:00,221.8,216.81
2025-01-04 05:15:00,222.3,217.23
2025-01-04 05:30:00,222.3,217.1
2025-01-04 05:45:00,222.4,217.23
2025-01-04 06:00:00,222.1,216.99
2025-01-04 06:15:00,222.9,217.84
2025-01-04 06:30:00,223.0,217.57
2025-01-04 06:45:00,222.9,217.63
2025-01-04 07:00:00,222.9,217.59
2025-01-04 07:15:00,222.7,217.32
2025-01-04 07:30:00,222.5,217.22
2025-01-04 07:45:00,221.7,216.71
2025-01-04 08:00:00,221.4,216.45
2025-01-04 08:15:00,220.9,215.99
2025-01-04 08:30:00,220.9,215.72
2025-01-04 08:45:00,220.7,215.72
2025-01-04 09:00:00,220.8,215.96
2025-01-04 09:15:00,221.3,216.17
2025-01-04 09:30:00,221.0,216.0
2025-01-04 09:45:00,220.9,215.83
2025-01-04 10:00:00,220.0,214.94
2025-01-04 10:15:00,220.1,215.06
2025-01-04 10:30:00,220.8,215.66
2025-01-04 10:45:00,221.0,215.66
2025-01-04 11:00:00,221.1,215.99
2025-01-04 11:15:00,220.8,215.91
2025-01-04 11:30:00,221.2,216.33
2025-01-04 11:45:00,221.5,216.45
2025-01-04 12:00:00,221.4,216.32
2025-01-04 12:15:00,221.8,216.65
2025-01-04 12:30:00,221.8,216.77
2025-01-04 12:45:00,222.3,217.04
2025-01-04 13:00:00,222.3,217.28
2025-01-04 13:15:00,222.2,217.07
2025-01-04 13:30:00,222.1,216.68
2025-01-04 13:45:00,222.3,217.03
2025-01-04 14:00:00,221.3,216.35
2025-01-04 14:15:00,221.3,216.37
2025-01-04 14:30:00,220.9,215.97
2025-01-04 14:45:00,220.9,215.88
2025-01-04 15:00:00,220.6,215.76
2025-01-04 15:15:00,220.0,215.21
2025-01-04 15:30:00,218.7,213.74
2025-01-04 15:45:00,219.3,214.32
2025-01-04 16:00:00,219.3,214.43
2025-01-04 16:15:00,219.3,214.38
2025-01-04 16:30:00,219.0,214.13
2025-01-04 16:45:00,219.4,214.4
2025-01-04 17:00:00,219.8,214.83
2025-01-04 17:15:00,220.1,215.09
2025-01-04 17:30:00,220.2,215.28
2025-01-04 17:45:00,220.6,215.75
2025-01-04 18:00:00,220.5,215.47
2025-01-04 18:15:00,220.4,215.55
2025-01-04 18:30:00,221.0,215.96
2025-01-04 18:45:00,220.5,215.54
2025-01-04 19:00:00,220.4,215.41
2025-01-04 19:15:00,220.5,215.46
2025-01-04 19:30:00,220.3,215.3
2025-01-04 19:45:00,220.6,215.58
2025-01-04 20:00:00,220.6,215.65
2025-01-04 20:15:00,220.7,215.68
2025-01-04 20:30:00,221.2,216.08
2025-01-04 20:45:00,221.3,216.43
