timestamp,BTC/USDT,ETH/USDT,XRP/USDT,LTC/USDT,BCH/USDT
2024-09-22,63578.76,2581.0,0.5871,68.68,342.6
2024-09-23,63339.99,2646.97,0.5847,66.96,342.0
2024-09-24,64262.7,2653.2,0.5911,66.7,348.0
2024-09-25,63152.01,2579.95,0.5831,66.55,343.5
2024-09-26,65173.99,2632.26,0.5905,68.54,351.8
2024-09-27,65769.95,2694.43,0.5888,71.13,358.8
2024-09-28,65858.0,2675.21,0.6138,69.95,352.3
2024-09-29,65602.01,2657.62,0.6412,69.27,352.6
2024-09-30,63327.59,2602.23,0.6114,66.82,337.2
2024-10-01,60805.78,2447.79,0.5967,63.41,317.8
2024-10-02,60649.28,2364.1,0.5383,62.95,316.1
2024-10-03,60752.71,2349.8,0.5217,63.44,320.3
2024-10-04,62086.0,2414.41,0.534,64.95,324.8
2024-10-05,62058.0,2414.66,0.5294,66.29,321.8
2024-10-06,62819.91,2440.03,0.5336,67.02,324.6
2024-10-07,62224.0,2422.71,0.5286,64.77,323.7
2024-10-08,62160.49,2440.89,0.531,65.69,329.1
2024-10-09,60636.02,2370.47,0.5245,64.59,320.6
2024-10-10,60326.39,2386.49,0.5305,64.32,323.0
2024-10-11,62540.0,2439.5,0.5388,65.58,327.0
2024-10-12,63206.22,2476.4,0.5393,66.19,329.2
2024-10-13,62870.02,2468.91,0.5321,64.8,321.3
2024-10-14,66083.99,2629.79,0.5483,66.83,369.6
2024-10-15,67074.14,2607.41,0.5417,70.87,354.7
2024-10-16,67620.01,2611.1,0.5482,70.08,365.6
2024-10-17,67421.78,2605.8,0.5441,72.8,369.7
2024-10-18,68428.0,2642.17,0.5465,73.11,367.3
2024-10-19,68378.0,2648.2,0.544,74.9,363.3
2024-10-20,69031.99,2746.91,0.5482,74.3,369.9
2024-10-21,67377.5,2666.7,0.5449,70.77,363.6
2024-10-22,67426.0,2622.81,0.5339,70.04,357.3
2024-10-23,66668.65,2524.61,0.5258,70.04,348.1
2024-10-24,68198.28,2535.82,0.532,71.18,367.9
2024-10-25,66698.33,2440.62,0.5022,68.84,349.1
2024-10-26,67092.76,2482.51,0.5134,68.47,348.0
2024-10-27,68021.7,2507.8,0.5168,71.06,352.2
2024-10-28,69962.21,2567.48,0.5195,70.8,365.3
2024-10-29,72736.42,2638.8,0.5284,73.98,386.1
2024-10-30,72344.74,2659.19,0.5229,71.76,368.9
2024-10-31,70292.01,2518.61,0.5095,69.33,358.9
2024-11-01,69496.01,2511.49,0.5131,70.27,349.6
2024-11-02,69374.74,2494.23,0.5103,69.2,353.7
2024-11-03,68775.99,2457.73,0.503,66.86,340.1
2024-11-04,67850.01,2398.21,0.5035,65.56,329.2
2024-11-05,69372.01,2422.55,0.514,65.39,342.9
2024-11-06,75571.99,2721.87,0.5418,71.01,378.4
2024-11-07,75857.89,2895.47,0.5556,71.45,377.5
2024-11-08,76509.78,2961.75,0.5537,72.78,377.0
2024-11-09,76677.46,3126.21,0.5593,73.98,405.0
2024-11-10,80370.01,3183.21,0.5884,76.58,441.3
2024-11-11,88647.99,3371.59,0.6207,80.03,472.6
2024-11-12,87952.01,3243.8,0.704,76.69,432.3
2024-11-13,90375.2,3187.16,0.6898,75.39,439.4
2024-11-14,87325.59,3058.82,0.7736,82.38,415.0
2024-11-15,91032.07,3090.01,0.8922,83.7,431.6
2024-11-16,90586.92,3132.87,1.1209,95.42,461.7
2024-11-17,89855.99,3076.0,1.0543,87.2,433.1
2024-11-18,90464.08,3207.8,1.1137,89.22,452.5
2024-11-19,92310.79,3107.44,1.1003,86.68,446.8
2024-11-20,94286.56,3069.97,1.1041,83.38,439.9
