Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume
2025-02-14 23:00:00,97134.60000000,97519.99000000,96995.41000000,97500.48000000,257.12757000,2025-02-14 23:59:59.999,25015929.80804720,93742,139.94407000,13616093.58151140
2025-02-15 00:00:00,97500.47000000,97516.20000000,97223.58000000,97470.88000000,490.01632000,2025-02-15 00:59:59.999,47720404.37722460,115321,240.65768000,23433635.03673520
2025-02-15 01:00:00,97470.87000000,97833.42000000,97436.93000000,97804.24000000,352.00246000,2025-02-15 01:59:59.999,34374322.61001690,84663,202.76573000,19798848.69260750
2025-02-15 02:00:00,97804.24000000,97918.53000000,97625.30000000,97839.04000000,362.11893000,2025-02-15 02:59:59.999,35402673.53275000,76466,218.62414000,21371179.09788740
2025-02-15 03:00:00,97839.05000000,97972.26000000,97642.16000000,97653.19000000,302.29454000,2025-02-15 03:59:59.999,29566078.12721270,54396,128.80996000,12597003.45759080
2025-02-15 04:00:00,97653.19000000,97780.73000000,97482.21000000,97527.63000000,358.46801000,2025-02-15 04:59:59.999,34990106.67414460,60003,100.73663000,9834475.40070770
2025-02-15 05:00:00,97527.64000000,97640.97000000,97450.01000000,97611.17000000,221.13608000,2025-02-15 05:59:59.999,21572966.63100030,45597,109.48370000,10681480.14023370
2025-02-15 06:00:00,97611.18000000,97664.06000000,97439.04000000,97488.61000000,210.60577000,2025-02-15 06:59:59.999,20545537.05581380,49676,107.50446000,10487566.21778030
2025-02-15 07:00:00,97488.62000000,97526.54000000,97345.50000000,97346.26000000,239.22000000,2025-02-15 07:59:59.999,23303138.69335080,56042,92.42177000,9003204.53559100
2025-02-15 08:00:00,97346.27000000,97544.00000000,97301.77000000,97505.51000000,208.69423000,2025-02-15 08:59:59.999,20336508.88039180,51416,98.70153000,9618425.35547670
2025-02-15 09:00:00,97505.51000000,97606.80000000,97441.49000000,97562.55000000,224.44139000,2025-02-15 09:59:59.999,21890090.53490250,49369,100.29490000,9782326.87613510
2025-02-15 10:00:00,97562.56000000,97731.09000000,97458.00000000,97653.95000000,204.41389000,2025-02-15 10:59:59.999,19949657.76639970,56081,91.56581000,8935991.37849980
2025-02-15 11:00:00,97653.94000000,97669.83000000,97472.75000000,97615.59000000,236.62887000,2025-02-15 11:59:59.999,23091264.29230090,58734,120.17397000,11727462.33037030
2025-02-15 12:00:00,97615.59000000,97833.42000000,97531.52000000,97753.82000000,316.93458000,2025-02-15 12:59:59.999,30958949.96431580,79807,157.55027000,15390954.28217850
2025-02-15 13:00:00,97753.81000000,97962.51000000,97677.28000000,97716.89000000,706.14764000,2025-02-15 13:59:59.999,69067578.84162770,93212,407.44398000,39862559.61385320
2025-02-15 14:00:00,97716.89000000,97756.00000000,97426.57000000,97593.61000000,673.38862000,2025-02-15 14:59:59.999,65695310.64744360,132285,356.10363000,34737004.31113280
2025-02-15 15:00:00,97593.62000000,97722.22000000,97548.23000000,97633.22000000,312.88733000,2025-02-15 15:59:59.999,30548726.66035610,83807,153.47245000,14984427.27567610
2025-02-15 16:00:00,97633.21000000,97714.39000000,97455.48000000,97535.39000000,278.61059000,2025-02-15 16:59:59.999,27185276.18833400,76707,111.53183000,10882988.46018070
2025-02-15 17:00:00,97535.39000000,97584.84000000,97304.38000000,97410.28000000,331.54700000,2025-02-15 17:59:59.999,32298061.12054100,85096,155.37511000,15135231.18228200
2025-02-15 18:00:00,97410.29000000,97584.91000000,97368.82000000,97540.79000000,178.74962000,2025-02-15 18:59:59.999,17423552.53403830,59299,86.35928000,8417856.99820240
2025-02-15 19:00:00,97540.80000000,97650.00000000,97509.61000000,97531.90000000,132.93067000,2025-02-15 19:59:59.999,12972803.47397030,45258,58.63793000,5722217.83893570
2025-02-15 20:00:00,97531.91000000,97641.78000000,97414.05000000,97539.40000000,186.07288000,2025-02-15 20:59:59.999,18146719.31940750,71774,83.66248000,8159112.39776120
2025-02-15 21:00:00,97539.40000000,97691.47000000,97539.39000000,97684.23000000,178.14951000,2025-02-15 21:59:59.999,17392017.50444660,51610,88.44266000,8633748.36782150
2025-02-15 22:00:00,97684.23000000,97741.35000000,97432.50000000,97545.76000000,290.27263000,2025-02-15 22:59:59.999,28327325.66298500,67655,144.95779000,14147103.06123230
2025-02-15 23:00:00,97545.77000000,97634.22000000,97426.56000000,97569.66000000,353.64527000,2025-02-15 23:59:59.999,34486322.68511750,90053,163.86433000,15977975.92510500
2025-02-16 00:00:00,97569.67000000,97704.47000000,97554.65000000,97594.57000000,146.65876000,2025-02-16 00:59:59.999,14319963.72859170,44252,70.02017000,6836535.82128870
2025-02-16 01:00:00,97594.58000000,97660.38000000,97538.87000000,97643.00000000,128.32038000,2025-02-16 01:59:59.999,12523786.49472090,35341,56.44847000,5508673.34779720
2025-02-16 02:00:00,97643.01000000,97653.30000000,97469.29000000,97524.87000000,306.89676000,2025-02-16 02:59:59.999,29945768.48263250,54699,135.09985000,13182872.16558070
2025-02-16 03:00:00,97524.87000000,97547.17000000,97411.11000000,97547.17000000,353.50903000,2025-02-16 03:59:59.999,34459997.37745690,56958,158.92358000,15491989.74007390
2025-02-16 04:00:00,97547.17000000,97583.49000000,97472.04000000,97530.81000000,212.15882000,2025-02-16 04:59:59.999,20690539.23152380,33759,116.60506000,11371687.26060230
2025-02-16 05:00:00,97530.81000000,97682.04000000,97485.94000000,97603.30000000,142.81440000,2025-02-16 05:59:59.999,13932641.46975730,28493,70.91841000,6918450.93170970
2025-02-16 06:00:00,97603.30000000,97625.63000000,97451.99000000,97487.26000000,175.63311000,2025-02-16 06:59:59.999,17132333.20721510,30776,63.16309000,6162522.91232620
2025-02-16 07:00:00,97487.27000000,97487.27000000,97212.00000000,97248.98000000,215.82070000,2025-02-16 07:59:59.999,21014150.28129420,42410,59.69117000,5812570.69217040
2025-02-16 08:00:00,97248.98000000,97331.42000000,97131.06000000,97163.86000000,297.81595000,2025-02-16 08:59:59.999,28954432.80653370,52756,99.73563000,9697359.88685340
2025-02-16 09:00:00,97163.87000000,97365.74000000,97061.58000000,97365.74000000,271.70559000,2025-02-16 09:59:59.999,26406649.16042350,69957,135.81953000,13201228.46893890
2025-02-16 10:00:00,97365.73000000,97388.89000000,97166.66000000,97180.98000000,225.84623000,2025-02-16 10:59:59.999,21970781.91038530,48669,78.70453000,7655997.64200400
2025-02-16 11:00:00,97180.98000000,97336.03000000,97152.00000000,97336.00000000,391.60188000,2025-02-16 11:59:59.999,38083799.11434300,57097,227.36485000,22112672.91259290
2025-02-16 12:00:00,97335.99000000,97336.00000000,97096.00000000,97125.63000000,349.35885000,2025-02-16 12:59:59.999,33960392.13663930,51596,95.13121000,9247839.26475560
2025-02-16 13:00:00,97125.64000000,97212.43000000,96788.21000000,96842.37000000,697.90050000,2025-02-16 13:59:59.999,67699930.06603560,86427,243.27513000,23607395.96303770
